Date,Unnamed: 0,QR_trans,QR_ORN,QR_avg_trans_orn,QR_POI_trans,QR_POI_ORN,QR_POI_avg_trans_orn,QR_POA_trans,QR_POA_ORN,QR_POA_avg_trans_orn,QR_200,QR_200_per,QR_422,QR_422_per,QR_other_response,QR_POI_200,QR_POI_200_per,QR_POI_422,QR_POI_422_per,QR_POI_other_response,QR_POA_200,QR_POA_200_per,QR_POA_422,QR_POA_422_per,QR_POA_other_response,QR_POI_stopped,QR_POA_stopped
2021-01-07,8,669927,290078,2.309471935134688,358689,290047,1.2366581967750054,311238,279955,1.1117429586897891,569068,84.94477756531681,100854,15.054476084707735,5,287299,80.09696422248801,71389,19.902756984462865,1,281769,90.53168314922985,29465,9.467031660658405,4,10092,31
2021-01-08,9,580642,251193,2.311537343795408,311364,251160,1.2397037744863832,269278,242095,1.1122823684917078,492398,84.80233947940383,88228,15.194904950038064,16,248615,79.84706003263062,62736,20.14876478976375,13,243783,90.53208951343963,25492,9.466796396289336,3,9065,33
2021-01-09,10,1110861,483338,2.2983109128601518,592475,483293,1.2259126451241793,518386,467540,1.1087521923257904,950296,85.54589638127544,160552,14.452933355298278,13,479498,80.93134731423267,112968,19.067133634330567,9,470798,90.81996813185543,47584,9.179260242367656,4,15753,45
2021-01-10,11,383592,164812,2.3274518845715115,205930,164787,1.2496738213572671,177662,158686,1.119582067731243,322150,83.98246053098083,61436,16.015975307097126,6,162633,78.97489438158597,43294,21.023648812703346,3,159517,89.78678614447658,18142,10.211525255822854,3,6101,25
2021-01-11,12,629222,272511,2.308978353167395,337173,272480,1.2374229301233115,292049,263095,1.1100515023090518,534417,84.93298072858228,94794,15.065271080795016,11,269750,80.00344037037367,67414,19.99389037675021,9,264667,90.62417608004135,27380,9.37513910336964,2,9385,31
2021-01-12,13,689087,299442,2.301236967426079,368675,299176,1.2323013878118565,320412,288993,1.1087188963054468,586921,85.1737153654038,102147,14.823527363018027,19,296136,80.32440496372143,72523,19.671255170543162,16,290785,90.75346741070871,29624,9.245596294770484,3,10183,266
2021-01-13,14,793618,343015,2.3136539218401526,423603,342981,1.2350625836416596,370015,331669,1.1156152670282722,673096,84.81360049797256,120508,15.18463542913593,14,339666,80.18498452560534,83929,19.8131269136432,8,333430,90.11256300420251,36579,9.885815439914598,6,11312,34
2021-01-14,15,510721,220903,2.311969506978176,274096,220873,1.2409665282764304,236625,212983,1.1110041646516389,432421,84.66873302644693,78294,15.330092163823302,6,218255,79.62721090420874,55837,20.371329753079213,4,214166,90.50861067089278,22457,9.490544109878499,2,7890,30
2021-01-15,16,552676,239090,2.311581412857083,295924,239063,1.2378494371776478,256752,230733,1.1127667043725864,468659,84.79814574904645,84008,15.200225810420573,9,236546,79.93471296684284,59375,20.064273259350365,3,232113,90.4035801084315,24633,9.594083006169376,6,8330,27
2021-01-16,17,892991,386300,2.3116515661403056,478496,386269,1.23876365952225,414495,373673,1.1092452491884617,759405,85.04061071164212,133569,14.95748557376278,17,383237,80.09199658931318,95250,19.906122517220627,9,376168,90.75332633686777,38319,9.244743603662288,8,12596,31
2021-01-17,18,367833,158368,2.322647251970096,198492,158347,1.2535254851686486,169341,152358,1.1114677273264286,309564,84.158843823148,58265,15.840068726840713,4,156391,78.78957338331016,42098,21.208915220764567,3,153173,90.45240077713017,16167,9.54700869842507,1,5989,21
2021-01-18,19,573492,249460,2.298933696785056,307770,249427,1.2339081174050923,265722,240760,1.1036800132912443,489301,85.31958597504412,84186,14.679542173212528,5,246998,80.25408584332456,60769,19.744939402800792,3,242303,91.18665372080595,23417,8.812593612873604,2,8667,33
2021-01-19,20,576631,250222,2.3044776238700035,309016,250178,1.2351845486013957,267615,241469,1.1082789095080527,491147,85.17526806571274,85479,14.823864828633909,5,247970,80.24503585574855,61044,19.75431692857328,2,243177,90.86822487528723,24435,9.13065411131663,3,8709,44
2021-01-20,21,749142,325397,2.3022400329443724,400502,325365,1.230931415487222,348640,314605,1.108183277443143,638723,85.26060479855623,110413,14.738594285195598,6,322247,80.46077173147701,78252,19.538479208593216,3,316476,90.7744378155117,32161,9.224701698026617,3,10760,32
2021-01-21,6,626823,271268,2.3107148650043503,336193,271239,1.2394714624371863,290630,261947,1.1094992498482517,531405,84.77752092696024,95408,15.22088372634699,10,268275,79.79791369838158,67913,20.20059906065861,5,263130,90.53779719918798,27495,9.460482400302787,5,9292,29
2021-01-22,22,537427,233438,2.3022258586862465,288030,233413,1.2339929652590045,249397,225373,1.1065966198258002,457626,85.15128566298307,79792,14.847039690971982,9,231002,80.20067354095059,57023,19.797590528764363,5,226624,90.86877548647335,22769,9.129620644995727,4,8040,25
2021-01-23,23,912215,395855,2.3044170213840927,487345,395799,1.2312941669887998,424870,382602,1.1104751151326966,777550,85.23758105271236,134643,14.760007235136454,22,392360,80.50970052016538,94976,19.48845273881952,9,385190,90.66067267634806,39667,9.336267564196108,13,13197,56
2021-01-24,24,365463,157348,2.3226415334163764,196850,157332,1.2511758574225205,168613,151372,1.113898211029781,307515,84.14394890864466,57940,15.85386208727012,8,155276,78.88036576073152,41568,21.116586233172466,6,152239,90.2890049996145,16372,9.70980885222373,2,5960,16
2021-01-25,5,577353,251514,2.295510389083709,309277,251499,1.2297345118668463,268076,243046,1.102984620195354,493935,85.55164691272064,83403,14.445755023356595,15,249237,80.58698189648761,60028,19.409138086569644,12,244698,91.27933869499692,23375,8.719542219370627,3,8453,15
2021-01-26,6,413647,178197,2.321290481882411,223013,178173,1.2516655160995211,190634,171522,1.111425939529623,348586,84.2713714834146,65058,15.727903260509565,3,176137,78.98059754364095,46876,21.01940245635905,0,172449,90.46077824522385,18182,9.537648058583464,3,6651,24
